Date,Highest High,Highest High Year,Lowest Low,Lowest Low Year
1/1,69,1998,21,1976
1/2,70,1948,20,1976
1/3,72,1948,23,1976
1/4,71,1948,22,1976
1/5,72,2018,20,1949
1/6,73,1948,17,1913
1/7,71,1911,20,1913
1/8,72,1911,22,1888
1/9,70,1953,23,1949
1/10,68,2025,18,1949
1/11,74,1990,19,1949
1/12,67,2003,20,1902
1/13,70,2000,19,1963
1/14,68,2012,22,1963
1/15,75,1974,21,1888
1/16,71,2014,20,1888
1/17,74,2014,20,1888
1/18,70,2014,23,1943
1/19,73,2014,24,1943
1/20,72,1994,24,1963
1/21,72,1994,19,1937
1/22,70,1994,25,1945
1/23,72,1948,25,1962
1/24,78,2014,24,1898
1/25,75,2014,24,1949
1/26,72,2014,24,1898
1/27,70,1934,25,1949
1/28,78,1986,23,1975
1/29,77,2024,24,1902
1/30,74,2024,25,1946
1/31,75,1984,26,1949
2/1,73,2021,25,1950
2/2,74,1928,26,1950
2/3,77,2000,25,1957
2/4,77,2015,28,1988
2/5,76,2015,24,1899
2/6,74,2015,24,1899
2/7,79,2018,24,1989
2/8,76,2018,28,1891
2/9,78,2016,27,1891
2/10,76,2022,29,1965
2/11,77,2022,28,1948
2/12,82,2022,27,1949
2/13,81,2022,24,1949
2/14,79,1924,25,1949
2/15,79,1977,24,1990
2/16,80,1943,27,1956
2/17,84,1930,29,1956
2/18,84,1930,27,1889
2/19,79,1977,28,1953
2/20,80,1896,28,1953
2/21,77,1991,26,1953
2/22,78,1989,30,1953
2/23,79,1981,30,1942
2/24,79,2014,30,1953
2/25,80,2014,30,1912
2/26,83,1888,25,1971
2/27,79,1992,26,1962
2/28,83,2020,28,1962
2/29,77,2020,30,1888
3/1,79,2016,28,1888
3/2,82,1921,26,1953
3/3,80,1994,26,1966
3/4,84,1929,30,1966
3/5,84,1929,31,1971
3/6,86,1899,31,1971
3/7,84,1899,30,1969
3/8,84,1972,29,1964
3/9,86,1946,32,1958
3/10,82,2015,31,1951
3/11,86,1916,30,1951
3/12,84,1910,28,1950
3/13,85,2013,31,1950
3/14,88,2015,29,1944
3/15,91,2015,31,1944
3/16,88,1972,33,1898
3/17,90,1972,31,1966
3/18,87,2004,32,1898
3/19,86,1928,32,1898
3/20,89,1960,33,1982
3/21,88,1960,30,1952
3/22,83,1925,30,1898
3/23,89,2022,34,1898
3/24,90,2022,34,1945
3/25,89,2022,32,1964
3/26,87,2015,34,1942
3/27,91,2015,31,1972
3/28,85,1986,33,1972
3/29,87,1969,32,1891
3/30,89,2015,31,1897
3/31,89,1966,31,1905
4/1,90,1966,32,1975
4/2,88,2021,34,1982
4/3,91,2000,33,1964
4/4,88,1952,33,1999
4/5,92,1971,34,1895
4/6,92,1989,36,1964
4/7,94,2022,32,1982
4/8,96,2022,35,2001
4/9,95,1989,32,1953
4/10,95,1989,34,1999
4/11,95,1908,34,1955
4/12,96,1908,34,1953
4/13,97,1898,34,1911
4/14,98,1985,36,1972
4/15,96,1947,35,1970
4/16,95,1947,35,1896
4/17,94,1980,34,1896
4/18,95,1910,36,1941
4/19,93,2009,35,1955
4/20,96,2009,36,1896
4/21,98,2009,36,1968
4/22,96,2012,33,1968
4/23,100,1910,39,1958
4/24,101,1910,36,1958
4/25,101,1898,36,1964
4/26,98,1926,37,1975
4/27,98,2004,36,1955
4/28,98,2007,36,1970
4/29,96,1981,35,1970
4/30,100,1981,37,1951
5/1,101,1947,38,1899
5/2,101,1947,40,1964
5/3,99,2004,38,1964
5/4,100,2004,39,1950
5/5,99,1990,36,1975
5/6,100,1987,41,1975
5/7,103,1987,36,1965
5/8,101,2001,39,1933
5/9,101,2001,39,1922
5/10,99,1993,41,1922
5/11,100,2001,40,1909
5/12,102,2013,42,1907
5/13,103,1976,43,1951
5/14,102,1972,43,1955
5/15,102,2014,42,1955
5/16,103,1970,40,1894
5/17,106,2009,44,1974
5/18,103,2008,42,1893
5/19,103,2008,42,1896
5/20,102,1947,44,1962
5/21,104,1892,42,1975
5/22,104,1967,43,1909
5/23,103,1967,44,1960
5/24,103,1943,41,1953
5/25,103,2022,42,1980
5/26,103,1974,40,1953
5/27,105,2020,46,1998
5/28,107,1984,45,1927
5/29,107,1984,45,1906
5/30,109,1910,45,1988
5/31,110,1910,46,1923
6/1,105,2016,44,1955
6/2,106,1960,45,1902
6/3,107,1912,44,1908
