Geographic Area Name,Median income estimate
Alabama,33108
Alaska,43069
Arizona,39900
Arkansas,32294
California,41901
Colorado,46958
Connecticut,46415
Delaware,41678
District of Columbia,70144
Florida,36270
Georgia,37610
Hawaii,43944
Idaho,35734
Illinois,42068
Indiana,37408
Iowa,39832
Kansas,39362
Kentucky,34030
Louisiana,32434
Maine,38152
Maryland,50096
Massachusetts,48593
Michigan,37246
Minnesota,45533
Mississippi,30181
Missouri,37170
Montana,36489
Nebraska,40374
Nevada,38594
New Hampshire,46197
New Jersey,47833
New Mexico,32973
New York,42741
North Carolina,36964
North Dakota,42611
Ohio,37812
Oklahoma,35155
Oregon,40208
Pennsylvania,39546
Rhode Island,41858
South Carolina,35661
South Dakota,39291
Tennessee,36072
Texas,38602
Utah,40000
Vermont,41013
Virginia,44901
Washington,47149
West Virginia,31897
Wisconsin,41645
Wyoming,39471
Puerto Rico,null
"Abanda CDP, Alabama",34911
"Abbeville city, Alabama",21678
"Adamsville city, Alabama",31873
"Addison town, Alabama",30833
"Akron town, Alabama",22500
"Alabaster city, Alabama",43502
"Albertville city, Alabama",29150
"Alexander City city, Alabama",27114
"Alexandria CDP, Alabama",41685
"Aliceville city, Alabama",18750
"Allgood town, Alabama",41696
"Altoona town, Alabama",14596
"Andalusia city, Alabama",28337
"Anderson town, Alabama",51875
"Anniston city, Alabama",28229
"Arab city, Alabama",35155
"Ardmore town, Alabama",31082
"Argo town, Alabama",52500
"Ariton town, Alabama",23482
"Arley town, Alabama",20729
"Ashford town, Alabama",30789
"Ashland town, Alabama",21279
"Ashville city, Alabama",28874
"Athens city, Alabama",36486
"Atmore city, Alabama",20399
"Attalla city, Alabama",30876
"Auburn city, Alabama",29495
"Autaugaville town, Alabama",33596
"Avon town, Alabama",35278
"Axis CDP, Alabama",38646
"Babbie town, Alabama",26250
"Baileyton town, Alabama",35846
"Bakerhill town, Alabama",38125
"Ballplay CDP, Alabama",27600
"Banks town, Alabama",40635
"Bay Minette city, Alabama",22736
"Bayou La Batre city, Alabama",22879
"Bear Creek town, Alabama",19329
"Beatrice town, Alabama",23750
"Beaverton town, Alabama",23393
"Belgreen CDP, Alabama",24792
"Belk town, Alabama",18750
"Bellamy CDP, Alabama",43468
"Belle Fontaine CDP, Alabama",31923
"Benton town, Alabama",45938
"Berlin town, Alabama",32841
"Berry town, Alabama",22661
"Bessemer city, Alabama",22939
"Billingsley town, Alabama",35750
"Birmingham city, Alabama",28054
"Black town, Alabama",27361
"Blountsville town, Alabama",27953
"Blue Ridge CDP, Alabama",56304
"Blue Springs town, Alabama",27000
"Boaz city, Alabama",28300
"Boligee town, Alabama",20875
"Bon Air town, Alabama",18500
"Bon Secour CDP, Alabama",51446
"Boykin CDP, Alabama",16654
"Brantley town, Alabama",28125
"Brantleyville CDP, Alabama",19338
"Brent city, Alabama",20365
"Brewton city, Alabama",29010
"Bridgeport city, Alabama",21511
"Brighton city, Alabama",24483
"Brilliant town, Alabama",27317
"Bristow Cove CDP, Alabama",12961
"Brook Highland CDP, Alabama",49849
"Brookside town, Alabama",29153
"Brookwood town, Alabama",40788
"Broomtown CDP, Alabama",13056
"Brundidge city, Alabama",21678
"Bucks CDP, Alabama",-
"Butler town, Alabama",31859
"Calera city, Alabama",48612
"Calvert CDP, Alabama",-
"Camden city, Alabama",14057
"Camp Hill town, Alabama",22901
"Carbon Hill city, Alabama",18921
"Cardiff town, Alabama",-
"Carlisle-Rockledge CDP, Alabama",30066
"Carlton CDP, Alabama",-
"Carolina town, Alabama",37500
"Carrollton town, Alabama",24722
"Castleberry town, Alabama",19583
"Catherine CDP, Alabama",-
"Cedar Bluff town, Alabama",28661
"Center Point city, Alabama",29646
"Centre city, Alabama",30425
"Centreville city, Alabama",25084
"Chatom town, Alabama",23018
"Chelsea city, Alabama",54506
"Cherokee town, Alabama",30500
"Chickasaw city, Alabama",24090
"Childersburg city, Alabama",29163
"Choccolocco CDP, Alabama",40553
"Chunchula CDP, Alabama",29148
"Citronelle city, Alabama",22143
"Clanton city, Alabama",31504
"Clay city, Alabama",35299
"Clayhatchee town, Alabama",30476
"Clayton town, Alabama",13975
"Cleveland town, Alabama",33963
"Clio city, Alabama",21594
"Coaling town, Alabama",33788
"Coats Bend CDP, Alabama",31615
"Coffee Springs town, Alabama",30333
"Coffeeville town, Alabama",28462
"Coker town, Alabama",40926
"Collinsville town, Alabama",21942
"Colony town, Alabama",24167
"Columbia town, Alabama",37885
"Columbiana city, Alabama",34018
"Concord CDP, Alabama",40980
"Coosada town, Alabama",35673
"Cordova city, Alabama",25417
"Cottondale CDP, Alabama",27618
"Cottonwood town, Alabama",23796
"County Line town, Alabama",35313
"Courtland town, Alabama",25081
"Cowarts town, Alabama",27715
"Creola city, Alabama",35025
"Crossville town, Alabama",23187
"Cuba town, Alabama",42083
"Cullman city, Alabama",36559
"Cullomburg CDP, Alabama","2,500-"
"Cusseta town, Alabama",35074
"Dadeville city, Alabama",25288
"Daleville city, Alabama",33130
"Daphne city, Alabama",46375
"Dauphin Island town, Alabama",42875
"Daviston town, Alabama",32500
"Dayton town, Alabama",-
"Deatsville town, Alabama",47419
"Decatur city, Alabama",34056
"Deer Park CDP, Alabama",72847
"Delta CDP, Alabama",-
"Demopolis city, Alabama",26425
"Detroit town, Alabama",14875
"Dodge City town, Alabama",31528
"Dora city, Alabama",30808
"Dothan city, Alabama",32128
"Double Springs town, Alabama",17321
"Douglas town, Alabama",30875
"Dozier town, Alabama",36167
"Dunnavant CDP, Alabama",36643
"Dutton town, Alabama",34643
"Eagle Point CDP, Alabama",46429
"East Brewton city, Alabama",23252
"East Point CDP, Alabama",43625
"Eclectic town, Alabama",33077
"Edgewater CDP, Alabama",54937
"Edwardsville town, Alabama",48068
"Egypt CDP, Alabama",20625
"Elba city, Alabama",24770
"Elberta town, Alabama",30850
"Eldridge town, Alabama",40000
"Elkmont town, Alabama",34020
"Elmore town, Alabama",23750
"Emelle town, Alabama",12431
"Emerald Mountain CDP, Alabama",53542
"Enterprise city, Alabama",33899
"Epes town, Alabama",14042
"Equality CDP, Alabama",-
"Ethelsville town, Alabama",31875
"Eufaula city, Alabama",26166
"Eunola CDP, Alabama",20125
"Eutaw town, Alabama",23239
"Eva town, Alabama",47206
"Evergreen city, Alabama",15919
"Excel town, Alabama",45078
"Fairfield city, Alabama",28926
"Fairford CDP, Alabama",50000
"Fairhope city, Alabama",39872
"Fairview town, Alabama",26761
"Falkville town, Alabama",22500
"Faunsdale town, Alabama",24091
"Fayette city, Alabama",22548
"Fayetteville CDP, Alabama",38069
"Fitzpatrick CDP, Alabama",-
"Five Points town, Alabama",21324
"Flomaton town, Alabama",19384
"Florala town, Alabama",22031
"Florence city, Alabama",28323
"Foley city, Alabama",34112
"Forestdale CDP, Alabama",34660
"Forkland town, Alabama",18571
"Fort Deposit town, Alabama",15567
"Fort Payne city, Alabama",28270
"Fort Rucker CDP, Alabama",40828
"Franklin town, Alabama",36113
"Fredonia CDP, Alabama",-
"Frisco City town, Alabama",24015
"Fruitdale CDP, Alabama",-
"Fruithurst town, Alabama",31098
"Fulton town, Alabama",29211
"Fultondale city, Alabama",43796
"Fyffe town, Alabama",17128
"Gadsden city, Alabama",22685
"Gainesville town, Alabama",15644
"Gallant CDP, Alabama",30600
"Gantt town, Alabama",17794
"Garden City town, Alabama",27625
"Gardendale city, Alabama",48832
"Gaylesville town, Alabama",27500
"Geiger town, Alabama",22500
"Geneva city, Alabama",20126
"Georgiana town, Alabama",19504
"Geraldine town, Alabama",33010
"Gilbertown town, Alabama",41250
"Glen Allen town, Alabama",27778
"Glencoe city, Alabama",34325
"Glenwood town, Alabama",24375
"Goldville town, Alabama",35313
"Good Hope city, Alabama",38983
"Goodwater town, Alabama",21566
"Gordo town, Alabama",25407
"Gordon town, Alabama",20227
"Gordonville town, Alabama",21806
"Goshen town, Alabama",25179
"Graham CDP, Alabama",28355
"Grand Bay CDP, Alabama",46078
"Grant town, Alabama",37026
"Grayson Valley CDP, Alabama",32381
"Graysville city, Alabama",36515
"Greensboro city, Alabama",18271
"Greenville city, Alabama",22907
"Grimes town, Alabama",19083
"Grove Hill town, Alabama",23146
"Guin city, Alabama",20929
"Gulfcrest CDP, Alabama",31696
"Gulf Shores city, Alabama",37443
"Guntersville city, Alabama",33353
"Gurley town, Alabama",30208
"Gu-Win town, Alabama",-
"Hackleburg town, Alabama",24878
"Hackneyville CDP, Alabama",45553
"Haleburg town, Alabama",38563
"Haleyville city, Alabama",23405
"Hamilton city, Alabama",22950
"Hammondville town, Alabama",26875
"Hanceville city, Alabama",22291
"Hanover CDP, Alabama",-
"Harpersville town, Alabama",33063
"Hartford city, Alabama",29844
"Hartselle city, Alabama",36494
"Harvest CDP, Alabama",56250
"Hatton CDP, Alabama",21058
"Hayden town, Alabama",45455
"Hayneville town, Alabama",26292
"Hazel Green CDP, Alabama",42897
"Headland city, Alabama",42040
"Heath town, Alabama",56000
"Heflin city, Alabama",27743
"Helena city, Alabama",53724
"Henagar city, Alabama",24067
"Highland Lake town, Alabama",44231
"Highland Lakes CDP, Alabama",64864
"Hillsboro town, Alabama",30682
"Hissop CDP, Alabama",29375
"Hobson CDP, Alabama",-
"Hobson City town, Alabama",22303
"Hodges town, Alabama",20893
"Hokes Bluff city, Alabama",46043
"Hollins CDP, Alabama",22863
"Hollis Crossroads CDP, Alabama",30556
"Holly Pond town, Alabama",26208
"Hollywood town, Alabama",31630
"Holt CDP, Alabama",20142
"Holtville CDP, Alabama",42017
"Homewood city, Alabama",48683
"Hoover city, Alabama",53074
"Horn Hill town, Alabama",37171
"Hueytown city, Alabama",36688
"Huguley CDP, Alabama",31300
"Huntsville city, Alabama",38349
"Hurtsboro town, Alabama",18533
"Hytop town, Alabama",28456
"Ider town, Alabama",21857
"Indian Springs Village city, Alabama",49526
"Irondale city, Alabama",47086
"Ivalee CDP, Alabama",22692
"Jackson city, Alabama",28374
"Jacksons' Gap town, Alabama",21150
"Jacksonville city, Alabama",20894
"Jasper city, Alabama",35886
"Jemison city, Alabama",34283
"Joppa CDP, Alabama",24423
"Kansas town, Alabama",24338
"Kellyton town, Alabama",38438
"Kennedy town, Alabama",25326
"Killen town, Alabama",33106
"Kimberly city, Alabama",56094
"Kinsey town, Alabama",28298
"Kinston town, Alabama",20417
"Ladonia CDP, Alabama",30417
"La Fayette city, Alabama",19984
"Lakeview town, Alabama",27969
"Lake View town, Alabama",47558
"Lanett city, Alabama",23915
"Langston town, Alabama",25179
"Leeds city, Alabama",41604
"Leesburg town, Alabama",26593
"Leighton town, Alabama",25074
"Leroy CDP, Alabama",39000
"Lester town, Alabama",-
"Level Plains town, Alabama",33750
"Lexington town, Alabama",34205
"Libertyville town, Alabama",36250
"Lillian CDP, Alabama",24211
"Lincoln city, Alabama",33891
"Linden city, Alabama",22784
"Lineville city, Alabama",23990
"Lipscomb city, Alabama",23953
"Lisman town, Alabama",21250
"Littleville town, Alabama",27574
"Livingston city, Alabama",10771
"Loachapoka town, Alabama",24211
"Lockhart town, Alabama",19125
"Locust Fork town, Alabama",25117
"Lookout Mountain CDP, Alabama",22171
"Louisville town, Alabama",34231
"Lowndesboro town, Alabama",63542
"Loxley town, Alabama",40660
"Luverne city, Alabama",28845
"Lynn town, Alabama",19563
"McCalla CDP, Alabama",43980
"McDonald Chapel CDP, Alabama",32628
"Macedonia CDP, Alabama",-
